Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P008_WH07,SRR17213447,Deltocephalinae,Vartini,Xenovarta,-,n.sp.T1,Christopher H. Dietrich,12.10%,12.10%,-,11-Feb-2009/18-Feb-2009,"Thailand: Petchaburi, Kaeng Krachan National Park",735m
P009_WC05,SRR17213042,Deltocephalinae,Vartini,Xenovarta,-,n.sp.T2,Christopher H. Dietrich,13.80%,13.80%,-,11-Feb-2009/18-Feb-2009,"Thailand: Petchaburi, Kaeng Krachan National Park",735m
P009_WF04,SRR17213031,Deltocephalinae,Vartini,Xenovarta,-,n.sp.,Christopher H. Dietrich,8.30%,8.20%,-,01-Sep-2008/07-Sep-2008,"Thailand: Suphanburi, Pu Toei National Park, Pinus merkusii forest",763m
P002_WB09,SRR17213020,Deltocephalinae,Punctulini,Punctulus,-,tumidifrons,Christopher H. Dietrich,3.90%,4.00%,-,20-Sep-2017,"China: Guangxi, ca. Qinbei, Bazhaigou Scenic Spot",90m
P006_WB12,SRR17213009,Deltocephalinae,Punctulini,n.gen.CN1,-,n.sp.1,Christopher H. Dietrich,3.50%,3.50%,-,20-Sep-2017,"China: Guangxi, ca. Qinbei, Bazhaigou Scenic Spot",-
P007_WB10,SRR17212998,Deltocephalinae,Punctulini,n.gen.T2,-,n.sp.1,Christopher H. Dietrich,86.10%,86.00%,-,26-Dec-2006/02-Jan-2007,"Thailand: Loei, Phu Ruea National Park, Behind checkpoint",691m
P008_WB10,SRR17213356,Deltocephalinae,Punctulini,Hochiminhus,-,tamdaoensis,Christopher H. Dietrich,1.80%,1.80%,-,10-Jul-2019/13-Jul-2019,"Vietnam: Vinh Phuc, Tam Dao",983m
P008_WD11,SRR17213345,Deltocephalinae,Punctulini,n.gen.CB1,-,sp.,Christopher H. Dietrich,11.50%,11.50%,-,17-Dec-2016/21-Dec-2016,"Cambodia: Stung Treng, Sembok Dist., Sembok Village, 2.5 km E Mekong R.",70m
P012_WD09,SRR17213430,Deltocephalinae,Punctulini,n.gen.T2,-,n.sp.2,Christopher H. Dietrich,9.00%,8.90%,-,18-Sep-2006/25-Sep-2006,"Thailand: Loei, Phu Kradueng National Park",274m
P014_WF02,SRR17213419,Deltocephalinae,Punctulini,n.gen.,-,n.sp.T1,Christopher H. Dietrich,2.90%,2.90%,-,31-Aug-2007/07-Sep-2007,"Thailand: Chiang Mai, Huai Nam Dang National Park, behind visitor house",1670m
P004_WB01,SRR17212846,Deltocephalinae,Cochlorhinini,Huleria,-,quadripunctata,James N. Zahniser,3.20%,3.20%,-,25-May-2002,"USA: California, Devore, near KOA campground",-
P004_WB05,SRR17212835,Deltocephalinae,Cochlorhinini,Limbanus,-,limbatus,James N. Zahniser,4.30%,4.30%,-,25-May-2002,"USA: California, Lake Hemet",-
P004_WD03,SRR17213410,Deltocephalinae,Cochlorhinini,Cochlorhinus,-,pluto,James N. Zahniser,6.90%,6.90%,-,10-Jun-2002,"USA: California, Placerville",-
P005_WF01,SRR17213399,Deltocephalinae,Cochlorhinini,Gloridonus,Ballana,bifidus,Christopher H. Dietrich,4.30%,4.30%,-,20-Apr-2011,"USA: California, San Bernardino County, Little Morongo Cr.",920m
