Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P002_WE10,SRR17213225,Deltocephalinae,Paralimnini,Teyasteles,-,divisifrons,Christopher H. Dietrich,2.70%,2.70%,-,01-Nov-2007,"Zambia: Copperbelt Prov., ~12 km SSE of Kitwe Kumasamba Lodge",-
P002_WF02,SRR17213224,Deltocephalinae,Macrostelini,Balclutha,-,frontalis,Christopher H. Dietrich,7.50%,7.50%,-,27-Oct-2005,"Mexico: Durango, rt.45 km 121 ca. Francisco Primo Verdad",-
P002_WF09,SRR17213223,Deltocephalinae,Macrostelini,Macrosteles,Macrosteles,sordidipennis,Christopher H. Dietrich,4.30%,4.30%,-,10-Jul-2005,"Mongolia: Bulgan, Teshig, Wetland near confluence of Tariakhtain Gol and Egiin Gol",-
P002_WG01,SRR17213222,Deltocephalinae,Macrostelini,Sonronius,-,dahlbomi,Christopher H. Dietrich,1.30%,1.30%,-,26-Jul-2000,Kyrgyzstan: Chuy W. Ak-Tyuz,-
P003_WA03,SRR17213221,Deltocephalinae,Macrostelini,Cicadulina,Cicadulina,bimaculata,Christopher H. Dietrich,4.30%,4.30%,-,22-Feb-2015,"Australia: Queensland, Ravensbourne National Park",-
P004_WF11,SRR17213220,Deltocephalinae,Macrostelini,Evinus,-,peri,James N. Zahniser,1.80%,1.80%,-,23-Jun-1999,"Kyrgyzstan: Dzhalal-Abad, 10 km W Dzhalal-Abad",924m
P005_WE08,SRR17213219,Deltocephalinae,Macrostelini,Baldulus,-,bilineatus,Christopher H. Dietrich,6.10%,6.10%,-,13-Nov-2005,"Mexico: Mexico, ca. 5km W Sta. Martha",2900m
P005_WF08,SRR17213218,Deltocephalinae,Macrostelini,Balclutha,-,kuroiwae,Christopher H. Dietrich,6.90%,6.90%,-,20-Sep-2017,"China: Guangxi, ca. QinbeiBazhaigou Scenic Spot",90m
P005_WF09,SRR17213217,Deltocephalinae,Macrostelini,Macrosteles,Macrosteles,alpinus,Christopher H. Dietrich,4.90%,4.90%,-,23-Jul-2005,"Mongolia: Hovsgol Aimag, Tumurbulag Soum, Bugcei (Bugceiin) Gol",1618m
P005_WG05,SRR17213215,Deltocephalinae,Macrostelini,Nesoclutha,-,phryne,Christopher H. Dietrich,3.90%,3.90%,-,13-Nov-2011,"Australia: Northern Territory, ~65 km W Borrolooly",-
P006_WF07,SRR17213214,Deltocephalinae,Macrostelini,Dalbulus,-,maidis,Christopher H. Dietrich,3.60%,3.60%,-,10-May-2011,"Brazil: State of Amazonas, Ipixuna, Rio Liberdade, Com. Santa Catarina",169m
P006_WF09,SRR17213117,Deltocephalinae,Macrostelini,Dalbulus,-,elimatus,Christopher H. Dietrich,7.10%,7.10%,-,10-Nov-2005,"Mexico: Veracruz, 18km S Orizaba",2200m
P008_WB12,SRR17213116,Deltocephalinae,Macrostelini,Balclutha,-,rubrostriata,Christopher H. Dietrich,6.80%,6.80%,-,27-Oct-2005,"Mexico: Durango, rt.45 km 121 ca. Francisco Primo Verdad",-
P008_WH08,SRR17213115,Deltocephalinae,Macrostelini,Yamatotettix,-,sexnotatus,Christopher H. Dietrich,4.50%,4.50%,-,12-Sep-2006/19-Sep-2006,"Thailand: Nakhon Nayok, Khao Yai National Park, Nhong Ping Khao Keow",733m
P009_WE03,SRR17213114,Deltocephalinae,Macrostelini,Sonronius,-,arcuatus,Christopher H. Dietrich,9.40%,9.40%,-,06-Aug-2010,"USA: Montana, Flathead County, Moose Lake",-
P011_WB06,SRR17213113,Deltocephalinae,Deltocephalini,Cortona,-,silvai,Christopher H. Dietrich,4.00%,4.00%,-,08-Jan-2008,"Argentina: Corrientes, Parque Nacional Mburucuya",80m
P011_WD02,SRR17213112,Deltocephalinae,Macrostelini,Macrosteles,Macrosteles,gracilis,Christopher H. Dietrich,9.60%,9.60%,-,23-Jul-2005,"Mongolia: Hovsgol Aimag, Tumurbulag Soum, Bugcei (Bugceiin) Gol",1618m
P011_WD03,SRR17213111,Deltocephalinae,Macrostelini,Macrosteles,Macrosteles,quadrimaculatus,Christopher H. Dietrich,2.20%,2.20%,-,25-Jul-2018,"China: Zheijiang, Tianmushan",714m
P012_WE11,SRR17213110,Deltocephalinae,Macrostelini,Evinus,-,angulatus,Christopher H. Dietrich,3.00%,3.00%,-,22-Jul-2006/02-Aug-2006,"Thailand: Chiang Mai, Doi Inthanon National Park, Kew MaePan",2200m
P014_WA11,SRR17213108,Deltocephalinae,Macrostelini,Macrosteles,Macrosteles,quadrilineatus,Christopher H. Dietrich,8.70%,8.70%,-,26-Oct-2005,"Mexico: Durango, rt.40 km 117 14 km W El Salto",-
P014_WE08,SRR17213107,Deltocephalinae,Macrostelini,Macrosteles,Macrosteles,guttatus,Christopher H. Dietrich,6.90%,6.90%,-,23-Jul-2005,"Mongolia: Hovsgol Aimag, Tumurbulag Soum, Bugcei (Bugceiin) Gol",1618m
P015_WA10,SRR17213106,Deltocephalinae,Macrostelini,Davisonia,-,major,Christopher H. Dietrich,3.40%,3.40%,-,Jul-2020,"USA: Colorado, Larimer County, Cameron Pass",-
P015_WE05,SRR17213105,Deltocephalinae,Macrostelini,Balclutha,-,punctata,Christopher H. Dietrich,5.60%,5.50%,-,12-Jun-2017,"Switzerland: Gordola, Reviscai, Riserva Bolle di Magadino",196m
P001_WH06,SRR17213104,Deltocephalinae,Pendarini,Chlorotettix,Chlorotettix,luteosus,Christopher H. Dietrich,3.90%,3.90%,-,09-Jan-2008,"Argentina: Corrientes, Parque Nacional Mburucuya campground",100m
P002_WA06,SRR17213103,Deltocephalinae,Pendarini,Copididonus,-,ramonensis,Christopher H. Dietrich,6.30%,6.30%,-,13-Nov-2009,"Bolivia: Canta Cruz, ca. Buena Vista",-
P002_WD10,SRR17213102,Deltocephalinae,Pendarini,Paraphlepsius,Sabix,irroratus,Christopher H. Dietrich,4.90%,4.90%,-,09-Aug-2016 ,"USA: Illinois, Livingston County, US rt. 66, 3.6 mi SW Dwight",200m
P002_WD12,SRR17213101,Deltocephalinae,Pendarini,Chlorotettix,-,lusorius,Christopher H. Dietrich,3.10%,3.10%,-,09-Aug-2016 ,"USA: Illinois, Livingston County, US rt. 66, 3.6 mi SW Dwight",200m
P002_WG03,SRR17213100,Deltocephalinae,Pendarini,Dorydiella,-,kansana,Christopher H. Dietrich,1.70%,1.70%,-,10-Aug-2016,"USA: Illinois, Livingston County, RR prairie, 1 mi NE Cayuga",-
P002_WG07,SRR17213099,Deltocephalinae,Pendarini,Paraphlepsius,Paraphysius,lobatus,Christopher H. Dietrich,3.90%,3.90%,-,10-Aug-2016,"USA: Illinois, Livingston County, RR prairie, 1 mi NE Cayuga",-
P003_WC02,SRR17213097,Deltocephalinae,Pendarini,Chlorotettix,-,inscriptus,Christopher H. Dietrich,3.90%,3.90%,-,15-Aug-2017,"Mexico: Hidalgo, Zacualtipan, La Mojonera",2067m
P003_WC03,SRR17213096,Deltocephalinae,Pendarini,Tropicanus,-,sp.,Christopher H. Dietrich,2.90%,2.90%,-,08-Sep-2018,"Mexico: Jalisco, Tuxcacuesco",864m
P004_WD06,SRR17213095,Deltocephalinae,Pendarini,Bandaromimus,-,parvicauda,James N. Zahniser,8.20%,8.20%,-,24-Oct-2002,"Peru: Huanuco, 5 km N Tingo Maria",600m
P004_WE05,SRR17213094,Deltocephalinae,Pendarini,Paraphlepsius,Paraphlepsius,nebulosus,James N. Zahniser,5.30%,5.30%,-,08-Jul-2004,"USA: Illinois, Iriquois County, Medewin Dolomite Prairie, S Kankakee",-
P004_WF05,SRR17212757,Deltocephalinae,Pendarini,Copididonus,-,hyalinipennis,James N. Zahniser,9.90%,9.90%,-,24-May-1996/31-May-1996,"Brasil: Goias, Uruacu",-
P007_WF10,SRR17212756,Deltocephalinae,Pendarini,Chlorotettix,Chlorotettix,neotropicus,Christopher H. Dietrich,4.60%,4.50%,-,25-Sep-2009/01-Oct-2009,"Argentina: Salta, 3 km W Cafayate",1760m
P007_WH07,SRR17212755,Deltocephalinae,Pendarini,Chlorotettix,Chlorotettix,lobatus,Christopher H. Dietrich,6.70%,6.70%,-,16-Oct-2001,"Mexico: Jalisco, ca. La Huerta",480m
P008_WE08,SRR17213484,Deltocephalinae,Pendarini,Paraphlepsius,Strephonius,floridanus,Christopher H. Dietrich,3.50%,3.40%,-,12-Jun-2017,"USA: North Carolina, Burke County, Linville Gorge",-
P009_WA05,SRR17213483,Deltocephalinae,Pendarini,Tropicanus,Cabimanus,n.sp.,Christopher H. Dietrich,65.20%,65.20%,-,11-May-2013,"Brazil: Amazonas, Ipixuna, Rio Liberdade",175m
P009_WB03,SRR17213482,Deltocephalinae,Pendarini,Tropicanus,Tropicanus,amazonicus,Christopher H. Dietrich,86.80%,86.80%,-,11-May-2014,"Brazil: Amazonas, Ipixuna, Rio Liberdade",175m
P009_WB12,SRR17213480,Deltocephalinae,Pendarini,Bandaromimus,-,fulvopictus,Christopher H. Dietrich,41.90%,41.80%,-,11-May-2011,"Brazil: Amazonas, Ipixuna, Rio Liberdade",175m
P009_WE08,SRR17213479,Deltocephalinae,Pendarini,Paraphlepsius,Gamarex,mimus,Christopher H. Dietrich,5.90%,5.90%,-,12-Jun-2017,"USA: North Carolina, Burke County, Linville Gorge",-
P011_WC04,SRR17213478,Deltocephalinae,Pendarini,Chlorotettix,-,galbanatus,Christopher H. Dietrich,4.40%,4.40%,-,09-Aug-2016 ,"USA: Illinois, Livingston County, US rt. 66, 3.6 mi SW Dwight",200m
P011_WF09,SRR17213477,Deltocephalinae,Pendarini,Chlorotettix,-,rugicollis,James N. Zahniser,4.70%,4.70%,-,29-Jun-2004,"USA: Illinois, Lee County, Foley Sand Prairie",-
P012_WC06,SRR17213476,Deltocephalinae,Pendarini,Tropicanus,Tropicanus,flectus,Christopher H. Dietrich,10.60%,10.50%,-,14-Sep-2009/17-Sep-2009,"Peru: Ancash Region, 7 km E Carhuaz, Pampamarca",-
P012_WC12,SRR17213475,Deltocephalinae,Pendarini,Chlorotettix,Chlorotettix,fraterculus,Christopher H. Dietrich,5.90%,5.90%,-,18-Aug-2000/02-Sep-2000,"Bolivia: Santa Cruz Prov., Quebrada Isiri, 20 km S Camiri",865m
P012_WF05,SRR17213474,Deltocephalinae,Pendarini,Tropicanus,-,n.sp.BR1,Christopher H. Dietrich,5.20%,5.20%,-,23-Mar-2016,"Brazil: Roraima, Reserva Maraca",118m
P012_WG01,SRR17213473,Deltocephalinae,Pendarini,Paraphlepsius,Strephonius,hemicolor,Christopher H. Dietrich,9.10%,9.10%,-,11-Sep-2019,"USA: Illinois, Danville, Vermilion County",-
P012_WG09,SRR17213472,Deltocephalinae,Pendarini,Copididonus,-,n.sp.,Christopher H. Dietrich,6.10%,6.00%,-,18-Jan-2008,Argentina: Salta,1250m
P012_WH10,SRR17213471,Deltocephalinae,Pendarini,Paraphlepsius,Paraphysius,micronotatus,Christopher H. Dietrich,7.10%,7.20%,-,29-Oct-2005,"Mexico: Coahuila, Huachichil rd. 2km E rt.54",-
P014_WB04,SRR17213469,Deltocephalinae,Pendarini,Chlorotettix,-,sp.,Christopher H. Dietrich,3.30%,3.30%,-,25-Oct-2002,"Peru: Huanuco, 5km S Tingo Maria",600m
P001_WA07,SRR17213468,Deltocephalinae,Hecalini,Hecalus,-,macilentus,Christopher H. Dietrich,4.40%,4.30%,-,18-Jun-2007,"Zambia: Northwestern Prov., Zambezi Source National Monument",1474m
P001_WB09,SRR17213467,Deltocephalinae,Hecalini,Memnonia,-,ornata,Christopher H. Dietrich,2.40%,2.40%,-,18-Oct-2005,"Mexico: Distrito Federal, rt. 95 km 41 S Mexico City",2970m
P001_WC05,SRR17213466,Deltocephalinae,Hecalini,Spangbergiella,-,quadripunctata,Christopher H. Dietrich,5.90%,5.90%,-,20-Oct-2005,"Mexico: Mexico, rt.134 3.5km S Temescaltepec",1950m
P001_WE03,SRR17213465,Deltocephalinae,Hecalini,Neohecalus,-,magnificus,Christopher H. Dietrich,1.60%,1.60%,-,09-Aug-2016,"USA: Illinois, Livingston County",200m
P001_WF09,SRR17213464,Deltocephalinae,Hecalini,Fangamanus,-,tripunctatus,Christopher H. Dietrich,5.40%,5.40%,-,12-Jul-2012,"China: Shaanxi, 8km ENE Chenhexiang",660m
P001_WH09,SRR17213093,Deltocephalinae,Hecalini,Hecalus,-,chilensis,Christopher H. Dietrich,2.40%,2.30%,grasses,18-Jan-2014,"Chile: Araucania, Parque Nacional Nahuelbuta, Cerro Anay road",-
P002_WA03,SRR17213092,Deltocephalinae,Hecalini,Otamendiella,-,linnavuorii,Christopher H. Dietrich,4.40%,4.40%,-,17-Feb-2014,"Argentina: Buenos Aires, Reserva Natural Otamendi",-
P002_WB03,SRR17213091,Deltocephalinae,Hecalini,Hecalusina,-,unispinosa,Christopher H. Dietrich,4.70%,4.70%,-,31-Jul-2006/07-Aug-2006 ,"Thailand: Phetchabun Nam Nao National Park, Tham Pra Laad Forest Unit",715m
P002_WB04,SRR17213090,Deltocephalinae,Hecalini,Hecalus,-,fuscovittatus,Christopher H. Dietrich,3.70%,3.70%,-,26-Mar-2007/02-Apr-2007,"Thailand: Loei Phu Ruea National Park, Nature tail",1353m
P002_WC06,SRR17213087,Deltocephalinae,Hecalini,Linnavuoriella,-,arcuata,Christopher H. Dietrich,5.50%,5.50%,-,28-Feb-2015,"Australia: Queensland, Mt. Bartle Frere trailhead ",710m
P003_WE01,SRR17213086,Deltocephalinae,Hecalini,Jiutepeca,-,nigrita,Christopher H. Dietrich,6.80%,6.80%,-,10-Nov-2005,"Mexico: Puebla, 6.3km E Azumbilla",2350m
P003_WE03,SRR17213085,Deltocephalinae,Hecalini,Lualabanus,-,n.sp.,Christopher H. Dietrich,4.90%,4.90%,-,20-Oct-2008,Republic of Congo: Iboubikro,-
P004_WF08,SRR17213084,Deltocephalinae,Hecalini,Attenuipyga,Dorycara,minor,James N. Zahniser,5.60%,5.60%,-,22-May-2002,"USA: New Mexico, Santa Rosa",-
P004_WF09,SRR17213083,Deltocephalinae,Hecalini,Parabolocratalis,-,lusingae,James N. Zahniser,4.40%,4.40%,-,27-Dec-2004,"South Africa: KwaZulu-Natal Prov., Oliviershoek Pass summit",1741m
P004_WF10,SRR17213082,Deltocephalinae,Hecalini,Attenuipyga,Attenuipyga,brevis,James N. Zahniser,4.50%,4.50%,-,19-Apr-1998,"USA: Texas, Culberson Co., 7 mi. NE jct Rt. 54 & 180",1200m
P004_WG03,SRR17213081,Deltocephalinae,Hecalini,Memnonia,-,fenestrella,James N. Zahniser,3.10%,3.10%,-,16-Apr-1998,"USA: California, Inyo County, Rt 127 0.5 mi. NE Tecopa",400m
P005_WA09,SRR17213080,Deltocephalinae,Hecalini,Spangbergiella,-,vulnerata,Christopher H. Dietrich,9.00%,9.00%,-,24-Jan-2008,"Argentina: Buenos Aires, ca. Reserva Otamendi",10m
P005_WA11,SRR17213079,Deltocephalinae,Hecalini,Glossocratus,-,foveolatus,Christopher H. Dietrich,17.80%,17.80%,-,16-Jul-2000,"Kyrgyzstan: Naryn, Alabuga River 25 km W Baetovo",1700m
P005_WA12,SRR17213078,Deltocephalinae,Hecalini,Glossocratus,-,afzelii,Christopher H. Dietrich,5.90%,5.80%,-,13-Oct-2008,"Republic of Congo: Iboubikro, Lesio-Loun Park",330m
P005_WB01,SRR17213076,Deltocephalinae,Hecalini,Dicyphonia,-,sp.,Christopher H. Dietrich,8.00%,7.90%,-,30-Oct-2005,"Mexico: Coahuila, Cuahtemoc Road km 15.9",2400m
P006_WH07,SRR17213075,Deltocephalinae,Hecalini,Thomsonia,-,porrecta,Christopher H. Dietrich,4.70%,4.70%,-,01-Jul-2006/08-Jul-2006,"Thailand: Chiang Mai, Doi Inthanon National Park, campground pond",1200m
P007_WF04,SRR17213074,Deltocephalinae,Hecalini,Hecalus,-,atascaderus,Christopher H. Dietrich,3.70%,3.70%,-,22-Oct-2005,"Mexico: Zacatecas, 2.6 km E Rt. 54",1600m
P011_WA10,SRR17213073,Deltocephalinae,Hecalini,Hecalus,-,finnamorei,Christopher H. Dietrich,3.80%,3.80%,-,17-Oct-2005,"Mexico: Distrito Federal, Mexico City, Instituto de Biologia UNAM",2250m
P011_WB02,SRR17213072,Deltocephalinae,Hecalini,Hecalus,-,pallescens,Christopher H. Dietrich,6.20%,6.10%,-,25-Jan-2009,"Australia: Queensland, Stannary Hills area",813m
P011_WB05,SRR17213071,Deltocephalinae,Hecalini,Hecalus,-,muzaffarabadensis,Christopher H. Dietrich,4.00%,4.00%,-,26-Mar-2007/02-Apr-2007,"Thailand: Loei, Phu Ruea National Park Sa Sawan",1352m
P011_WC09,SRR17213070,Deltocephalinae,Hecalini,Hecalus,-,nitobei,Christopher H. Dietrich,1.40%,1.40%,-,10-Sep-2016,"China: Chongqing, Jinyan Shan",785m
P011_WG07,SRR17212901,Deltocephalinae,Hecalini,Jiutepeca,-,n.sp.,James N. Zahniser,7.50%,7.40%,-,13-Oct-2001,"Mexico: Jalisco, Aguacate-Zenzontla Road",840m
P011_WG08,SRR17212900,Deltocephalinae,Hecalini,Hecalus,-,curtus,James N. Zahniser,3.30%,3.30%,-,21-May-2002,"USA: Oklahoma, ~5mi. E. Sweetwater",-
P011_WG09,SRR17212899,Deltocephalinae,Hecalini,Hecalus,-,virescens,James N. Zahniser,7.80%,7.80%,-,27-Dec-2004,"South Africa: KwaZulu-Natal Prov., Arthurs Seat hill",1583m
P011_WG10,SRR17212897,Deltocephalinae,Hecalini,Linnavuoriella,-,masombwensis,James N. Zahniser,5.10%,5.10%,-,Nov-2007,"Zambia: Northwestern Prov., ~11km SW Mwinilunga, Nkunyi Local Forest",-
P011_WH04,SRR17212896,Deltocephalinae,Hecalini,Spangbergiella,-,felix,Christopher H. Dietrich,2.60%,2.60%,-,05-Jan-2008,"Argentina: Corrientes, 1 km S. Pte. Internacional, Santo Tome",-
P011_WH05,SRR17212895,Deltocephalinae,Hecalini,Spangbergiella,-,mexicana,Christopher H. Dietrich,4.00%,4.00%,-,10-Nov-2005,"Mexico: Puebla, Rt. 150 24.1 km S Orizaba",2300m
P011_WH06,SRR17212894,Deltocephalinae,Hecalini,Linnavuoriella,-,berenice,Christopher H. Dietrich,6.60%,6.50%,-,12-Nov-2007,"Zambia: Copperbelt Prov., ~45 km S of Ndola, Nsobe Game Camp",1255m
P011_WH07,SRR17212893,Deltocephalinae,Hecalini,Hecalus,-,viridis,Christopher H. Dietrich,4.90%,4.90%,-,20-Aug-2017,"USA: Illinois, Mason County",-
P011_WH08,SRR17212892,Deltocephalinae,Hecalini,Hecalus,-,major,Christopher H. Dietrich,2.90%,2.90%,-,05-Jun-2012,"USA: Illinois, Will County, 0.5 mi SW Peotone",-
P011_WH09,SRR17212891,Deltocephalinae,Hecalini,Hecalus,-,aurora,Christopher H. Dietrich,4.40%,4.40%,-,10-Jun-2005,"Ghana: Greater Accra Region, Shai Hills Resource Reserve",-
P011_WH10,SRR17212890,Deltocephalinae,Hecalini,Hecalus,-,arcuatus,Christopher H. Dietrich,7.30%,7.20%,-,21-Aug-2006/28-Aug-2006,"Thailand: Phetchabun, Nam Nao National Park, Tham Pra Laad Forest Unit",711m
P011_WH11,SRR17212889,Deltocephalinae,Hecalini,Hecalus,-,wallengrenii,Christopher H. Dietrich,3.10%,3.10%,-,23-Jun-2006/26-Jun-2006,"Thailand: Chaiyaphum, TatTone National Park, Dry Dipterocarp Forest",250m
P012_WH07,SRR17212888,Deltocephalinae,Hecalini,Hecalus,-,australis,Christopher H. Dietrich,8.10%,8.10%,-,23-Apr-2003/04-May-2003,"Australia: Western Australia Karjini National Park, Dale Gorge Road",668m
P012_WH09,SRR17212886,Deltocephalinae,Hecalini,Memnonia,-,fossitia,Christopher H. Dietrich,4.20%,4.20%,-,23-Oct-2005,"Mexico: Zacatecas, Rt. 23 31km S Fresnillo",2300m
P014_WG07,SRR17212885,Deltocephalinae,Hecalini,Hecalus,-,prominens,Christopher H. Dietrich,7.20%,7.20%,-,12-Aug-2008/18-Aug-2008,Republic of Congo: Iboubikro,-
P015_WF11,SRR17212884,Deltocephalinae,Hecalini,Attenuipyga,Dorycara,platyrhyncha,Christopher H. Dietrich,7.20%,7.20%,-,10-Aug-2016,"USA: Ilinois, Livingston County, RR prairie 1 mi. NE Cayuga",-
P001_WA01,SRR17212883,Deltocephalinae,Drabescini,Odzalana,-,alcumena,Christopher H. Dietrich,4.30%,4.30%,-,06-Nov-2007,"Zambia: Northwestern Prov., Mwinilunga",-
P001_WF01,SRR17212882,Deltocephalinae,Drabescini,Kutara,-,lui,Christopher H. Dietrich,5.60%,5.50%,-,12-Oct-2006/19-Oct-2006,"Thailand: Loei, Phu Ruea National Park, Suan hin Palee",1178m
P001_WF02,SRR17212881,Deltocephalinae,Drabescini,Drabescus,-,samoanus,Christopher H. Dietrich,8.00%,8.00%,-,Dec-2008/Mar-2009,"Australia: Queensland, 6 Victor Place, Kuranda",395m
P001_WF08,SRR17212880,Deltocephalinae,Drabescini,Dryadomorpha,-,pallida,Christopher H. Dietrich,7.60%,7.60%,-,24-Jun-2004,"China: Taiwan, Kaohsiung, Shanping Forest Reserve Station",700m
P001_WF11,SRR17212879,Deltocephalinae,Drabescini,Carvaka,-,formosana,Christopher H. Dietrich,3.70%,3.60%,-,07-Aug-2013,"China: Taiwan, Aowanda Forest Reserve",-
P001_WG04,SRR17212878,Deltocephalinae,Drabescini,Drabescus,-,nitobei,Christopher H. Dietrich,3.60%,3.60%,-,26-Jun-2004,"China: Taiwan, Taichung, Gu Kuang",-
P003_WA07,SRR17213213,Deltocephalinae,Drabescini,Carvaka,-,contempta,Christopher H. Dietrich,2.80%,2.80%,-,06-Jan-2011,"Australia: Victoria, Bemm River Scenic Reserve, Rainforest Walk",-
P003_WD11,SRR17213211,Deltocephalinae,Drabescini,Odmiella,-,sp.,Christopher H. Dietrich,3.40%,3.40%,-,05-Nov-2007/09-Nov-2007,"Zambia: Northwestern Prov., nr. Mwinilunga",1448m
P003_WE07,SRR17213210,Deltocephalinae,Drabescini,Nirvanguina,-,n.sp.,Christopher H. Dietrich,3.30%,3.30%,-,2-Dec-2006/08-Dec-2006,"Thailand: Loei, Phu Kradueng National Park",275m
P003_WE08,SRR17213209,Deltocephalinae,Drabescini,Waigara,-,n.sp.,Christopher H. Dietrich,2.50%,2.50%,-,24-Jun-2004,"China: Taiwan, Kaohsiung, Shanping Forest Reserve Station",700m
P003_WF03,SRR17213208,Deltocephalinae,Drabescini,Roxasella,-,n.sp.3,Christopher H. Dietrich,3.70%,3.70%,-,03-May-2012,"Philippines: Mindanao, Bukidnon, Mt. Kitanglad summit trail",1773m
P003_WF04,SRR17213207,Deltocephalinae,Drabescini,Hybrasil,-,n.sp.,Christopher H. Dietrich,4.30%,4.30%,-,03-Apr-2012,"Philippines: Mindanao, Bukidnon, Mt. Kitanglad summit trail",1773m
P004_WE09,SRR17213206,Deltocephalinae,Drabescini,Bhatia,-,satsumensis,James N. Zahniser,4.70%,4.70%,-,10-Jun-2004,"China: Taiwan, Taipei, Fushan Forest Res. Sta.",500m
P004_WE10,SRR17213205,Deltocephalinae,Drabescini,Parabolopona,-,guttata,James N. Zahniser,5.50%,5.60%,-,13-Jun-2004,"China: Taiwan, Nantou, Pei Tung Yan Mountain",1550m
P005_WH06,SRR17213204,Deltocephalinae,Drabescini,Favintiga,-,gracilipenis,Christopher H. Dietrich,17.60%,17.50%,-,30-Jun-2019,"China: Taiwan, Miaoli County, Rt. 124, Nanchuang",-
P006_WA09,SRR17213203,Deltocephalinae,Drabescini,n.gen.PNG1,-,n.sp.1,Christopher H. Dietrich,10.30%,10.30%,-,25-Jul-2008/29-Jul-2008,"Papua New Guinea: New Britain Island, East New Britain Prov., Karavat",-
P006_WA11,SRR17213202,Deltocephalinae,Drabescini,n.gen.PNG2,-,n.sp.1,Christopher H. Dietrich,5.50%,5.50%,-,25-Jul-2008/29-Jul-2008,"Papua New Guinea: New Britain Island, East New Britain Prov., Karavat",-
P006_WC11,SRR17213200,Deltocephalinae,Drabescini,Nakula,-,multicolor,Christopher H. Dietrich,3.80%,3.80%,-,23-Sep-2017,"China: Guangxi, Longtan National Forest Park, Longtan Villa",390m
P006_WD02,SRR17213199,Deltocephalinae,Drabescini,n.gen.ML5,-,n.sp.1,Christopher H. Dietrich,3.90%,3.90%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P006_WD04,SRR17213198,Deltocephalinae,Drabescini,n.gen.ML3,-,n.sp.1,Christopher H. Dietrich,4.40%,4.40%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P006_WD05,SRR17213197,Deltocephalinae,Drabescini,Bhatiahamus,-,flabellata,Christopher H. Dietrich,3.40%,3.30%,-,29-May-2012,"Vietnam: Vinh Phuc, Tam Dao National Park",-
P006_WD06,SRR17213196,Deltocephalinae,Drabescini,Drabescoides,-,nuchalis,Christopher H. Dietrich,4.60%,4.50%,-,10-Sep-2016,"China: Chongqing, Jinyan Shan",872m
P006_WF05,SRR17213195,Deltocephalinae,Drabescini,Divus,-,sp.,Christopher H. Dietrich,6.30%,6.30%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P006_WH06,SRR17213194,Deltocephalinae,Drabescini,n.gen.PH1,-,n.sp.1,Christopher H. Dietrich,3.90%,3.90%,-,07-Dec-2010,"Philippines: Bukidnon, Brgy Impalutao, CEDAR",780m
P007_WA08,SRR17213193,Deltocephalinae,Drabescini,n.gen.PH4,-,n.sp.1,Christopher H. Dietrich,4.30%,4.30%,-,03-May-2012,Philippines: about 1 hour up trail to top of Mt Kitanglad,1773m
P007_WC12,SRR17213192,Deltocephalinae,Drabescini,n.gen.T,-,n.sp.1,Christopher H. Dietrich,6.70%,6.70%,-,04-Apr-2007/11-Apr-2007,"Thailand: Ubon Ratchathani, Pha Taem National Park, west of HuayPok substation",438m
P007_WF09,SRR17213191,Deltocephalinae,Drabescini,Roxasella,-,philippina,Christopher H. Dietrich,4.80%,4.70%,-,07-Dec-2010,"Philippines: Bukidnon, Brgy Impalutao, CEDAR",780m
P008_WA02,SRR17213069,Deltocephalinae,Drabescini,Pararoxasella n.gen.,-,n.sp.,Christopher H. Dietrich,9.60%,9.60%,-,09-Aug-2003,"Malaysia: Sabah, Croker Range National Park, HQ Station Road",-
P008_WA11,SRR17213068,Deltocephalinae,Drabescini,n.gen.ML6,-,n.sp.1,Christopher H. Dietrich,5.40%,5.40%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P008_WA12,SRR17213067,Deltocephalinae,Drabescini,n.gen.ML4,-,n.sp.1,Christopher H. Dietrich,4.90%,4.90%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P008_WB01,SRR17213066,Deltocephalinae,Drabescini,n.gen.ML1,-,n.sp.1,Christopher H. Dietrich,6.60%,6.60%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P009_WD01,SRR17213065,Deltocephalinae,Drabescini,Isaca,-,bipars,Christopher H. Dietrich,6.30%,6.20%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",-
P009_WG05,SRR17213064,Deltocephalinae,Drabescini,n.gen.,-,sp.,Christopher H. Dietrich,8.70%,8.70%,-,18-May-2009/25-May-2009,"Thailand: Petchaburi, Kaeng Krachan National Park",735m
