Row Sort,Column Sort,RAPiD Genomics Sample Code,Unique Client Code,Ct value,Assembly quality,# phyt_protein-coding genes,,# phyt_barcode_gene,,# other_phyt_gene,,# plant_barcode_gene,,RAPiD Genomics Lab Use ONLYConcentration (ng / uL),RAPiD Genomics Lab Use ONLYTotal DNA (ng),Concentration (ng / uL),Volume (uL),ul,eluition,16Sr assignment,Tuf,SecA,SecY,rpIV-rpsC,groEl,amp gene,other rp,Dnak,ffh,ftsY,GroES,GrpE,imp,yidC,vmp,Subfamily,Tribe,subtribe,Genus,species,Country,,,,,,,,,
35,83,ILL_137402_P001_WC11,45-23.1,25.68,good,87,48,11,26,73,55,3,75,0.806029543,28.21103401,1,35,,1,,XI,XI,XI,V,XIV,,rpIB/rpIP,,,,,,,,,Deltocephalinae,Bonaspeiini,,Coganus,breviatus,SOUTH AFRICA: WCape Prov. Cape of Good Hope Nat. Res.S34°13.855' E18°24.766'  54.2 m 10-XII-2004  #04-16col. J.N. Zahniser  sweep,,,,,,,,,
36,91,ILL_137402_P001_WC12,45-28.1,25.51,good,50,28,7,16,41,31,2,50,15.23593019,533.2575566,1,35,,,,XI,VIII,na,,XI,,rpIB/rpIO,,,,,,,,,Deltocephalinae,Paralimnini,,Vilargus,pumilicans,"SOUTH AFRICA: KZN Prov., Arthurs Seat hill, S28°53.985' E29°26.084'  1583 m, 27-XII-2004  #04-68, col. J.N. Zahniser  sweep",,,,,,,,,
37,4,ILL_137402_P001_WD01,45-23.1(2),25.77,good,115,64,17,40,96,72,2,50,5.542401304,193.9840456,1,35,20,2,,XI,XI,XI,XI,XI,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Bonaspeiini,,Coganus,breviatus,,,,,,,,,,
38,12,ILL_137402_P001_WD02,45-28.1(2),27.67,bad,23,13,6,14,16,12,1,25,17.70136677,619.5478368,1,35,,,16SrXIV-F,,XI,XI,,XI,,"oBa(rpIB)/16SrXI(rpIO,rpIP)",,,,,,,,,Deltocephalinae,Paralimnini,,Vilargus,pumilicans,"SOUTH AFRICA: KZN Prov., Arthurs Seat hill, S28°53.985' E29°26.084'  1583 m, 27-XII-2004  #04-68, col. J.N. Zahniser  sweep",,,,,,,,,
39,20,ILL_137402_P001_WD03,45-29.1,31.37,bad,14,8,2,5,12,9,0,0,4.937869947,172.8254481,1,35,27,1,16SrI-B,,,,,,,rpsS,,,,,,,,,Deltocephalinae,Paralimnini,,Pravistylus,dentidiscus,"SOUTH AFRICA: KZN Prov., Arthurs Seat hill, S28°53.985' E29°26.084'  1583 m, 27-XII-2004  #04-68, col. J.N. Zahniser  sweep",,,,,,,,,
40,28,ILL_137402_P001_WD04,45-29.1(2),31.35,bad,13,7,3,7,9,7,1,25,16.75514377,586.4300321,1,35,,,,oBa,,,,,,rpIB/rpIP,,,,,,,,,Deltocephalinae,Paralimnini,,Pravistylus,dentidiscus,"SOUTH AFRICA: KZN Prov., Arthurs Seat hill, S28°53.985' E29°26.084'  1583 m, 27-XII-2004  #04-68, col. J.N. Zahniser  sweep",,,,,,,,,
41,36,ILL_137402_P001_WD05,41-51.1,33.47,bad,2,1,1,2,1,1,0,0,0.070078326,2.452741418,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,44,ILL_137402_P001_WD06,DEL-117,32.05,bad,5,3,1,2,1,1,3,75,2.966572044,103.8300216,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,52,ILL_137402_P001_WD07,DEL-116,,bad,4,2,1,2,0,0,3,75,0,0,1,35,,,,,,,,,,rpIB,,,,,,,,,go back to original samples for extraction,,,,,,,,,,,,,,
44,60,ILL_137402_P001_WD08,DEL-105,28.3,bad,22,12,3,7,15,11,4,100,0.028023971,0.980838984,1,35,,,16SrXIV-E,oBa,,,I,,,rpIO,,,,,,,,,Deltocephalinae,Paralimnini,Paralimnina,Multiproductus,,"THAILAND Loei  
Phu Ruea NP Nern Wibaak ditch  
17º29.907'N101º20.483'E 1196m
Malaise trap 26.ii-2.iii.2007
Patikhom Tumtip leg. T1714 ",,,,,,,,,
45,68,ILL_137402_P001_WD09,DEL-108,31.02,bad,42,23,5,12,34,26,3,75,1.762766125,61.69681438,1,35,,,16SrXIV,oBa,XI,na,,XI,,rpIB,,,,,,,,,Deltocephalinae,Macrostelini,,Nesoclutha,phryne,"Australia Queensland 13 Feb 2008  Approx 1.5km W of Noonbah Station driveway. GPS estimated 24⁰5.7’S      143⁰ 10.4’E 180 m K. Hill, D. Marshall, C. Owen, M. Moulds, M. Humphrey-24.095,143.173333",,,,,,,,,
46,76,ILL_137402_P001_WD10,DEL-100,30.09,bad,19,11,2,5,14,11,3,75,5.248020817,183.6807286,1,35,,,,oBa,XI,,,,,,,,,,,,,,Deltocephalinae,Paralimnini,Paralimnina,Acharis,ussuriensis,"CHINA:Shaanxi, 8km ENE Chenhexiang, 33.98133N  108.16384E 12 Jul 2012, C.H.Dietrich, vacuum",,,,,,,,,
47,84,ILL_137402_P001_WD11,45-40.1,28.19,bad,46,26,9,21,34,26,3,75,10.95164275,383.3074962,1,35,,,,oBa,VIII,,V,XI,,rpIB/rpIO,,,,,,,,,Deltocephalinae,Paralimnini,,Vilargus,pumilicans,"SOUTH AFRICA: KZN Prov., SE of Kamberg, S29°26.796' E29°46.443'  1783 m, 26-XII-2004  #04-65, col. J.N. Zahniser  sweep",,,,,,,,,
48,92,ILL_137402_P001_WD12,45-41.1,33.34,bad,7,4,3,7,3,2,1,25,10.27351627,359.5730694,1,35,,,16SrXIV-F,oBa,,,,XI,,,16SrXI,,,,,,,,Deltocephalinae,Paralimnini,,Pravistylus,exquadratus,,,,,,,,,,
49,5,ILL_137402_P001_WE01,45-40.1(2),31.16,bad,19,11,3,7,14,11,2,50,14.51049256,507.8672397,1,35,,,16SrXI,,,,rpIV,,,rpsS,,,,,,,,,Deltocephalinae,Paralimnini,,Vilargus,pumilicans,"SOUTH AFRICA: KZN Prov., SE of Kamberg, S29°26.796' E29°46.443'  1783 m, 26-XII-2004  #04-65, col. J.N. Zahniser  sweep",,,,,,,,,
50,13,ILL_137402_P001_WE02,45-43.1,34.4,bad,2,1,1,2,1,1,0,0,21.06045839,737.1160437,1,35,,,,,,,,,,rpIB,,,,,,,,,,,,,,,,,,,,,,,
