SampleName,InsectTreeName,Type,SpecimenIdentification,TopSpecies,TopGenus,TopOrder,TopFamily,PlantTreeName,status
P001_WB01,StenometopiiniStirellusindrus,MatchedInsectTreewGenusSpecies,StenometopiiniStirellusindrus,subcordata,Hemionitis,Polypodiales,Pteridaceae,Hemionitis_subcordata,bind
P001_WB01,StenometopiiniStirellusindrus,MatchedInsectTreewGenusSpecies,StenometopiiniStirellusindrus,sativa,Avena,Poales,Poaceae,Avena_sativa,prune
P001_WB01,StenometopiiniStirellusindrus,MatchedInsectTreewGenusSpecies,StenometopiiniStirellusindrus,lycopersicum,Solanum,Solanales,Solanaceae,Solanum_lycopersicum,prune
P001_WC01,PendariniChlorotettixChlorotettixlobatus,MatchedInsectTreewTribeGenus,PendariniChlorotettixsp.,vulgaris,Silene,Caryophyllales,Caryophyllaceae,Silene_vulgaris,prune
P001_WB12,AthysaniniAtanuslobatus,MatchedInsectTreewTribeGenus,AthysaniniAtanusn.sp.BR1,splendens,Salvia,Lamiales,Lamiaceae,Salvia_splendens,prune
P001_WG01,ScaphytopiiniScaphytopiusCloanthanusdilatus,MatchedInsectTreewTribeGenus,ScaphytopiiniScaphytopiusaequus,littorea,Silene,Caryophyllales,Caryophyllaceae,Silene_littorea,prune
P001_WC03,ChiasminiAthysanellaGladionuraargenteola,MatchedInsectTreewTribeGenus,ChiasminiAthysanellatexana,antirrhina,Silene,Caryophyllales,Caryophyllaceae,Silene_antirrhina,prune
P001_WB04/P001_WB05,ChiasminiGurawaminorcephala,MatchedInsectTreewGenusSpecies,ChiasminiGurawaminorcephala,boreale,Botrychium,Ophioglossales,Ophioglossaceae,Botrychium_boreale,bind
P001_WB04/P001_WB05,ChiasminiGurawaminorcephala,MatchedInsectTreewGenusSpecies,ChiasminiGurawaminorcephala,erythrocarpa,Youngia,Asterales,Asteraceae,Youngia_erythrocarpa,prune
P001_WB04/P001_WB05,ChiasminiGurawaminorcephala,MatchedInsectTreewGenusSpecies,ChiasminiGurawaminorcephala,coreanus,Rubus,Rosales,Rosaceae,Rubus_coreanus,prune
P001_WB04/P001_WB05,ChiasminiGurawaminorcephala,MatchedInsectTreewGenusSpecies,ChiasminiGurawaminorcephala,chinensis,Stellaria,Caryophyllales,Caryophyllaceae,Stellaria_chinensis,prune
P001_WF09,ParalimniniAdarrusBelaunustaurus,MatchedInsectTreewTribeGenus,ParalimniniAdarrusn.sp.,vinifera,Vitis,Vitales,Vitaceae,Vitis_vinifera,prune
P001_WF09,ParalimniniAdarrusBelaunustaurus,MatchedInsectTreewTribeGenus,ParalimniniAdarrusn.sp.,armeria,Silene,Caryophyllales,Caryophyllaceae,Silene_armeria,prune
P001_WD10,ParalimniniAcharisussuriensis,MatchedInsectTreewTribeGenus,ParalimniniAcharisn.sp.,vinifera,Vitis,Vitales,Vitaceae,Vitis_vinifera,prune
P001_WD09,MacrosteliniNesocluthapallida,MatchedInsectTreewTribeGenus,MacrosteliniNesocluthaphryne,vinifera,Vitis,Vitales,Vitaceae,Vitis_vinifera,prune
P001_WD09,MacrosteliniNesocluthapallida,MatchedInsectTreewTribeGenus,MacrosteliniNesocluthaphryne,americanus,Cenchrus,Poales,Poaceae,Cenchrus_americanus,bind
P001_WD09,MacrosteliniNesocluthapallida,MatchedInsectTreewTribeGenus,MacrosteliniNesocluthaphryne,arabica,Silene,Caryophyllales,Caryophyllaceae,Silene_arabica,bind
P001_WD07,DeltocephaliniMaiestasmaculata,MatchedInsectTreewTribeGenus,DeltocephaliniMaiestaswebbi,vinifera,Vitis,Vitales,Vitaceae,Vitis_vinifera,prune
P001_WD07,DeltocephaliniMaiestasmaculata,MatchedInsectTreewTribeGenus,DeltocephaliniMaiestaswebbi,hybrid,Saccharum,Poales,Poaceae,Saccharum_hybrid,bind
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,noctiflora,Silene,Caryophyllales,Caryophyllaceae,Silene_noctiflora,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,vulgaris,Silene,Caryophyllales,Caryophyllaceae,Silene_vulgaris,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,walteri,Cornus,Cornales,Cornaceae,Cornus_walteri,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,sanguinea,Cornus,Cornales,Cornaceae,Cornus_sanguinea,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,lycopersicum,Solanum,Solanales,Solanaceae,Solanum_lycopersicum,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,archiducis-nicolai,Medicago,Fabales,Fabaceae,Medicago_archiducis-nicolai,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,sativa,Medicago,Fabales,Fabaceae,Medicago_sativa,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,americana,Corylus,Fagales,Betulaceae,Corylus_americana,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,vinifera,Vitis,Vitales,Vitaceae,Vitis_vinifera,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,pratense,Trifolium,Fabales,Fabaceae,Trifolium_pratense,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,repens,Trifolium,Fabales,Fabaceae,Trifolium_repens,prune
P001_WF04,ScaphoideiniOsbornellustenuis,MatchedInsectTreewTribeGenus,ScaphoideiniOsbornellusauronitens,capillaris,Crepis,Asterales,Asteraceae,Crepis_capillaris,prune
P001_WG11,LimotettiginiLimotettixLimotettixferganensis,MatchedInsectTreewTribeGenus,LimotettiginiLimotettixurnura,palustris,Eleocharis,Poales,Cyperaceae,Eleocharis_palustris,prune
P001_WG11,LimotettiginiLimotettixLimotettixferganensis,MatchedInsectTreewTribeGenus,LimotettiginiLimotettixurnura,xyridiformis,Eleocharis,Poales,Cyperaceae,Eleocharis_xyridiformis,bind
P001_WG11,LimotettiginiLimotettixLimotettixferganensis,MatchedInsectTreewTribeGenus,LimotettiginiLimotettixurnura,compressa,Poa,Poales,Poaceae,Poa_compressa,bind
P001_WF12,OpsiiniNeoalituruscarbonarius,MatchedInsectTreewTribeGenus,OpsiiniNeoaliturusargillaceus,nodiflora,Phyla,Lamiales,Verbenaceae,Phyla_nodiflora,prune
P001_WF12,OpsiiniNeoalituruscarbonarius,MatchedInsectTreewTribeGenus,OpsiiniNeoaliturusargillaceus,glaucus,Carthamus,Asterales,Asteraceae,Carthamus_glaucus,prune
P001_WD11/P001_WE01,ParalimniniVilarguspumilicans2,MatchedInsectTreewGenusSpecies,ParalimniniVilarguspumilicans,hirsutum,Gossypium,Malvales,Malvaceae,Gossypium_hirsutum,prune
